nse_symbol,fyers_symbol,isin,name,fytoken,last_updated
20MICRONS,NSE:20MICRONS-EQ,INE144J01027,20 MICRONS LTD,101000000016921,2026-08-27
21STCENMGM,NSE:21STCENMGM-EQ,INE253B01015,21ST CENTURY MGMT SERVICE,10100000004,2026-08-27
360ONE,NSE:360ONE-EQ,INE466L01038,360 ONE WAM LIMITED,101000000013061,2026-08-27
3BBLACKBIO,NSE:3BBLACKBIO-EQ,INE994E01018,3B BLACKBIO DX LTD.,1010000000762518,2026-08-27
3MINDIA,NSE:3MINDIA-EQ,INE470A01017,3M INDIA LIMITED,1010000000474,2026-08-27
3PLAND,NSE:3PLAND-EQ,INE105C01023,3P LAND HOLDINGS LIMITED,10100000002595,2026-08-27
5PAISA,NSE:5PAISA-EQ,INE618L01018,5PAISA CAPITAL LIMITED,1010000000445,2026-08-27
63MOONS,NSE:63MOONS-EQ,INE111B01023,63 MOONS TECHNOLOGIES LTD,101000000011868,2026-08-27
A2ZINFRA,NSE:A2ZINFRA-EQ,INE619I01012,A2Z INFRA ENGINEERING LTD,101000000020906,2026-08-27
AAATECH,NSE:AAATECH-EQ,INE0D0U01013,AAA TECHNOLOGIES LIMITED,101000000012533,2026-08-27
AADHARHFC,NSE:AADHARHFC-EQ,INE883F01010,AADHAR HOUSING FINANCE L,101000000023729,2026-08-27
AAKASH,NSE:AAKASH-EQ,INE087Z01024,AAKASH EXPLORATION SER L,1010000000235,2026-08-27
AAREYDRUGS,NSE:AAREYDRUGS-EQ,INE198H01019,AAREY DRUGS & PHARM LTD,10100000005245,2026-08-27
AARON,NSE:AARON-EQ,INE721Z01010,AARON INDUSTRIES LIMITED,10100000001030,2026-08-27
AARTIDRUGS,NSE:AARTIDRUGS-EQ,INE767A01016,AARTI DRUGS LTD.,10100000004481,2026-08-27
AARTIIND,NSE:AARTIIND-EQ,INE769A01020,AARTI INDUSTRIES LTD,10100000007,2026-08-27
AARTIPHARM,NSE:AARTIPHARM-EQ,INE0LRU01027,AARTI PHARMALABS LIMITED,101000000013868,2026-08-27
AARVI,NSE:AARVI-EQ,INE754X01016,AARVI ENCON LIMITED,101000000019073,2026-08-27
AASTHA,NSE:AASTHA-EQ,INE2FMX01012,AASTHA SPINTEX LIMITED,1010000000763800,2026-08-27
AAVAS,NSE:AAVAS-EQ,INE216P01012,AAVAS FINANCIERS LIMITED,10100000005385,2026-08-27
ABANSENT,NSE:ABANSENT-EQ,INE365O01028,ABANS ENTERPRISES LTD.,1010000000762523,2026-08-27
ABB,NSE:ABB-EQ,INE117A01022,ABB INDIA LIMITED,101000000013,2026-08-27
ABBOTINDIA,NSE:ABBOTINDIA-EQ,INE358A01014,ABBOTT INDIA LIMITED,101000000017903,2026-08-27
ABCAPITAL,NSE:ABCAPITAL-EQ,INE674K01013,ADITYA BIRLA CAPITAL LTD.,101000000021614,2026-08-27
ABCOTS,NSE:ABCOTS-EQ,INE08PH01015,A B COTSPIN INDIA LIMITED,1010000000759130,2026-08-27
ABDL,NSE:ABDL-EQ,INE552Z01027,ALLIED BLEND N DISTILS L,101000000024308,2026-08-27
ABFRL,NSE:ABFRL-EQ,INE647O01011,ADITYA BIRLA FASHION & RT,101000000030108,2026-08-27
ABLBL,NSE:ABLBL-EQ,INE14LE01019,ADITYA BIRLA LIFES BRAN L,1010000000756843,2026-08-27
ABMKNO,NSE:ABMKNO-EQ,INE850B01026,A B M KNOWLEDGEWARE LTD.,1010000000762528,2026-08-27
