record_id,nse_symbol,isin,company_name,board,delisted_date,delisting_type,source
NSEDL0001,CABOTINDIA,INE144B01016,Cabot India Ltd,Main Board,2002-04-15,Voluntary Delisting ,NSE official delisted companies register
NSEDL0002,TOLANIBULK,INE051C01011,Tolani Bulk Carriers Ltd,Main Board,2002-04-15,Voluntary Delisting ,NSE official delisted companies register
NSEDL0003,HOGANAS,INE132A01013,Hoganas India Ltd,Main Board,2002-08-07,Voluntary Delisting ,NSE official delisted companies register
NSEDL0004,INFARINDIA,INE568A01018,Infar (India) Ltd.,Main Board,2002-10-11,Voluntary Delisting ,NSE official delisted companies register
NSEDL0005,CADBURY,INE184A01014,Cadbury India Limited,Main Board,2003-02-07,Voluntary Delisting ,NSE official delisted companies register
NSEDL0006,SRIVISHCEM,INE286B01015,Sri Vishnu Cement Ltd,Main Board,2003-03-10,Voluntary Delisting ,NSE official delisted companies register
NSEDL0007,MADURACOAT,INE122A01014,Madura Coats Limited,Main Board,2003-04-25,Voluntary Delisting ,NSE official delisted companies register
NSEDL0008,RECKCOLMAN,INE274A01013,Reckitt Benckiser (India) Ltd,Main Board,2003-05-12,Voluntary Delisting ,NSE official delisted companies register
NSEDL0009,BHARATHOT,INE466A01015,Bharat Hotels Limited,Main Board,2003-06-17,Voluntary Delisting ,NSE official delisted companies register
NSEDL0010,OTIS,INE099A01014,OTIS Elevator Company Ltd,Main Board,2003-06-17,Voluntary Delisting ,NSE official delisted companies register
NSEDL0011,INVELTRANS,INE527A01014,GKN Driveshafts (India) Limited,Main Board,2003-07-29,Voluntary Delisting ,NSE official delisted companies register
NSEDL0012,INDAL,INE249A01015,Indian Aluminium Co. Ltd.,Main Board,2004-04-08,Voluntary Delisting ,NSE official delisted companies register
NSEDL0013,DIGITALEQP,INE124A01010,Digital GlobalSoft Ltd.,Main Board,2004-04-15,Voluntary Delisting ,NSE official delisted companies register
NSEDL0014,ANIKSHIP,INE445701019,Anik Ship Breaking Industries Ltd.,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0015,BHARATPIPE,INE028301013,Bharat Pipes and Fittings Ltd,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0016,CRBCAPS,INE056701019,CRB Capital Markets Ltd,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0017,CRBCORP,INE056901015,CRB Corporation Ltd,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0018,GRMAGNET,INE523A01013,GR Magnets Ltd.,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0019,KAMALOVER,Not Available,Kamal Overseas Ltd.,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0020,KEDIADIST,INE129401019,Kedia Distilleries Ltd.,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0021,MARUTIORGN,INE188101013,Maruti Organics Limited,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0022,MRINALDYE,INE203201012,Mrinal Dyeing & Manufacturing Co. Ltd,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0023,PANASIAIND,INE230801016,Pan Asia Industries Ltd,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0024,REALVALAPL,INE980C01011,Real Value Appliance Ltd.,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0025,SHIVLOHMIL,INE294201012,Shivalik Loha Mills Ltd.,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0026,WESTINDIA,INE304901015,Western India Industries Ltd,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0027,WESTNPAQUE,INE305101011,Western Paques (India) Ltd,Main Board,2004-07-26,Compulsory Delisting ,NSE official delisted companies register
NSEDL0028,E-SERVEINT,INE784A01011,e-Serve International Limited,Main Board,2004-12-22,Voluntary Delisting ,NSE official delisted companies register
NSEDL0029,INDGYPSUM,INE561A01013,India Gypsum Ltd,Main Board,2005-01-12,Voluntary Delisting ,NSE official delisted companies register
NSEDL0030,HINDSPG,INE066D01017,Hindoostan Spinning and Weaving Mills Ltd,Main Board,2005-04-05,Voluntary Delisting ,NSE official delisted companies register
