nse_symbol,ex_date,share_multiplier,source_records,parsed_unique_factors,subjects
20MICRONS,2013-01-28,2.0,1,1,Face Value Split Rs 10 To Rs 5
360ONE,2023-03-02,4.0,2,2,Bonus 1:1 | Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
3IINFOTECH,2007-08-27,2.0,1,1,Bonus 1:1
3PLAND,2008-03-11,5.0,1,1,Fv Split Rs.10/- To Rs.2/
AAKASH,2022-02-03,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
AARON,2025-08-25,2.0,1,1,Bonus 1:1
AARTECH,2024-08-09,3.0,2,2,Bonus 1:2 | Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
AARTIDRUGS,2015-03-24,2.0,1,1,Bonus 1:1
AARTIDRUGS,2020-09-30,4.0,1,1, Bonus 3:1
AARTIIND,2019-09-27,2.0,1,1, Bonus 1:1
AARTIIND,2021-06-22,2.0,1,1, Bonus 1:1
ABB,2007-06-28,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ABINFRA,2025-10-17,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
ABMINTLTD,2017-03-15,6.0,1,1, Bonus 5:1
ACCURACY,2023-02-15,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
ACE,2008-03-13,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ACUTAAS,2025-04-25,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
ADANIENT,2009-12-10,2.0,1,1,Bonus 1:1
ADANIPORTS,2010-09-23,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
ADANIPOWER,2025-09-22,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
ADFFOODS,2023-09-11,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
ADSL,2009-11-11,2.0,1,1,Fv Split Rs.10/- To Rs.5/
ADVANIHOTR,2007-10-22,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ADVANIHOTR,2024-03-20,2.0,1,1,Bonus 1:1
ADVANTA,2013-07-05,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
ADVENZYMES,2017-05-25,5.0,1,1, Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share
AEGISLOG,2010-08-18,1.6666666667,1,1,Bonus 2:3
AEGISLOG,2015-09-16,10.0,1,1, Face Value Split From Rs 10 To Rs 1
AFFLE,2021-10-07,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
AFIL,2025-04-17,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
AGIIL,2025-02-07,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
AGIIL,2025-10-10,5.0,1,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
AHCL,2026-04-24,10.0,2,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share | Bonus 1:1
AHLEAST,2022-10-06,1.5,1,1,Bonus 1:2
AIAENG,2008-10-13,5.0,1,1,Fv Split Rs.10/- To Rs.2/Rd Date Revised
AICHAMP,2008-09-11,2.0,1,1,Fv Split Rs.10/- To Rs.5/
AIIL,2026-01-13,5.0,1,1,Bonus 4:1
AJANTPHARM,2012-08-09,2.0,1,1,Face Value Split From Rs. 10/- To Rs. 5/-
AJANTPHARM,2013-09-17,1.5,1,1,Bonus 1:2
AJANTPHARM,2015-03-20,2.5,1,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share
AJANTPHARM,2022-06-22,1.5,1,1,Bonus- 1:2
AJMERA,2026-01-14,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
AJOONI,2022-10-07,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
AJRINFRA,2009-10-26,5.0,1,1,Fv Split Rs.10/- To Rs.2/
AJRINFRA,2013-01-23,1.0294117647,1,1,Bonus 1:34
AKI,2023-06-22,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
AKSHAR,2023-07-31,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
AKSHAR,2024-02-15,1.2,1,1,Bonus 1:5
ALANKIT,2015-09-23,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
ALANKIT,2016-10-19,2.0,1,1, Bonus 1:1
ALCHEMIST,2007-03-08,2.0,1,1,Bonus 1:1
ALEMBICLTD,2006-09-26,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ALEMBICLTD,2013-09-27,2.0,1,1,Bonus 1:1
ALICON,2006-12-04,2.0,1,1,Fv Split Rs.10/- To Rs.5/
ALKYLAMINE,2014-09-08,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
ALKYLAMINE,2021-05-11,2.5,1,1, Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share
ALLCARGO,2009-11-19,5.0,1,1,Fv Spl-Rs10to2/Div-Rs2.50
ALLCARGO,2015-12-30,2.0,1,1, Bonus 1:1
ALLCARGO,2024-01-02,4.0,1,1,Bonus 3:1
ALMONDZ,2024-07-23,6.0,1,1,Face Value Split (Sub-Division) - From Rs 6/- Per Share To Re 1/- Per Share
ALPSINDUS,2006-09-22,2.0,1,1,Dividend-7.50% /Bonus 1:1
AMJLAND,2009-03-23,5.0,1,1,Fv Split Rs.10/- To Rs.2/
AMRUTANJAN,2012-10-25,5.0,1,1,Face Value  Split From Rs. 10 To Rs. 2/-
AMRUTANJAN,2018-04-13,2.0,1,1, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
ANANDRATHI,2025-03-05,2.0,1,1,Bonus 1:1
ANANDRATHI,2026-06-03,2.0,1,1,Bonus 1:1
ANANTRAJ,2007-10-08,5.0,1,1,Fv Split Rs.10/- To Re.2/
ANDHRAPAP,2024-09-11,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
ANDHRSUGAR,2021-12-30,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
ANGELONE,2026-02-26,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
ANMOL,2023-07-18,5.0,1,1,Bonus 4:1
ANSALAPI,2006-05-10,2.0,1,1,Fv Split Rs.10/- To Rs.5/
ANSALAPI,2007-04-23,2.0,1,1,Bonus 1:1
ANSALHSG,2013-04-10,3.0,1,1,Bonus 2:1
ANTELOPUS,2010-12-31,1.1,1,1,Bonus 1:10
ANUHPHR,2025-07-15,2.0,1,1,Bonus 1:1
ANUP,2024-04-23,2.0,1,1,Bonus 1:1
APARINDS,2007-01-11,1.3333333333,1,1,Bonus-1:3
APCOTEXIND,2013-08-14,2.0,1,1,Face Value Split From Rs.10/- To Rs.5/-
APCOTEXIND,2015-09-23,2.0,1,1, Bonus 1:1
APCOTEXIND,2019-07-04,2.5,1,1, Face Value Split (Sub-Division) - From Rs 5 Per Share To Rs 2 Per Share
APLAPOLLO,2020-12-15,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
APLAPOLLO,2021-09-16,2.0,1,1, Bonus 1:1
APOLLO,2023-05-04,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
APOLLOHOSP,2010-09-02,2.0,1,1,Face Value Split From Rs.10/- To Rs.5/-
APOLLOPIPE,2021-12-02,3.0,1,1, Bonus 2:1
APOLLOTYRE,2007-08-17,10.0,1,1,Fv Split Rs.10/- To Re.1/
APOLSINHOT,2018-10-12,2.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
APTECHT,2023-07-14,1.4,1,1,Bonus 2:5
AQUA,2010-10-01,10.0,1,1,Face Value Split From Rs.10/- To Re.1/-
AQYLON,2026-03-05,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
ARCHIES,2010-11-02,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
ARCOTECH,2017-06-22,5.0,1,1, Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share
ARE&M,2007-09-19,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ARE&M,2008-10-14,1.5,1,1,Bonus 1:2
ARE&M,2012-09-25,2.0,1,1,Face Value Split From Rs.2/- To Re.1/-
ARIHANTCAP,2022-04-12,5.0,1,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
AROGRANITE,2008-09-26,1.5,1,1,Bonus 1:2
AROGRANITE,2013-10-30,1.5,1,1,Bonus 1 : 2
ARTEMISMED,2021-09-23,10.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
ASHAPURMIN,2007-10-18,2.0,1,1,Bonus 1:1
ASHCO,2009-12-08,10.0,1,1,Agm/Fv Spl Rs.10 To Re.1
ASHIANA,2013-10-24,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
ASHOKA,2013-07-03,3.0,1,2,Bonus 1:2 And Face Value Split Rs.10/- To Rs.5/-
ASHOKA,2018-07-12,1.5,1,1, Bonus 1:2
ASHOKLEY,2011-08-02,2.0,1,1,Bonus 1:1
ASHOKLEY,2025-07-16,2.0,1,1,Bonus 1:1
ASIANELEC,2007-10-22,2.0,1,1,Fv Split Rs.10/- To Rs.5/
ASIANPAINT,2013-07-30,10.0,1,1,Face Value Split Rs 10 To Re 1
ASTRAL,2010-09-15,2.0,1,1,Face Value Split From Rs.10/- To Rs.5/-
ASTRAL,2013-09-05,2.5,1,1,Face Value Split From Rs.5/- To Rs.2/-
ASTRAL,2014-09-25,2.0,1,1,Face Value Split From Rs 2/- Per Share To Re 1/- Per Share
ASTRAL,2019-09-16,1.25,1,1, Bonus 1:4
ASTRAL,2021-03-18,1.3333333333,1,1, Bonus 1:3
ASTRAL,2023-03-14,1.3333333333,1,1,Bonus 1:3
ASTRAMICRO,2010-12-30,1.5,1,1,Bonus 1:2
ASTRAZEN,2006-06-15,5.0,1,1,Fv Split Rs.10/- To Rs.2/
ATALREAL,2023-11-16,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
