event_id,effective_from,effective_to,component,segment,buy_rate,sell_rate,rate_unit,tax_base,source_note,source_url,validation_status
STT_NONE,2000-04-01,2004-09-30,STT,equity_delivery,0,0,percent_of_turnover,trade_value,Pre-STT period,https://www.indiabudget.gov.in/budget_archive/ub2004-05/bs/speecha.htm,seed_verified
STT_2004,2004-10-01,2005-05-31,STT,equity_delivery,0.075,0.075,percent_of_turnover,delivery_value,Initial delivery STT split equally between buyer and seller,https://nsearchives.nseindia.com/content/circulars/cmtr5588.htm,seed_verified
STT_2005,2005-06-01,2006-05-31,STT,equity_delivery,0.10,0.10,percent_of_turnover,delivery_value,Finance Act 2005 revised delivery STT to 0.1 percent each side,https://www.indiabudget.gov.in/budget_archive/ub2005-06/fb/bill7.pdf,verified_official
STT_2006,2006-06-01,2012-06-30,STT,equity_delivery,0.125,0.125,percent_of_turnover,delivery_value,Finance Act 2006 increased delivery STT to 0.125 percent each side,https://www.indiabudget.gov.in/budget_archive/ub2006-07/fb/bill11.pdf,verified_official
STT_2012,2012-07-01,,STT,equity_delivery,0.10,0.10,percent_of_turnover,delivery_value,Finance Act 2012 reduced cash-delivery STT to 0.1 percent each side,https://www.indiabudget.gov.in/budget2012-2013/ub2012-13/mem/mem1.pdf,verified_official
SERVICE_2000,2000-04-01,2003-05-13,Service tax,broker_services,5,5,percent_of_taxable_fees,brokerage,Five percent general service-tax rate; stock broking was already a taxable service,https://www.indiabudget.gov.in/budget_archive/es2003-04/chapt2004/chap23.pdf,verified_official
SERVICE_2003,2003-05-14,2004-09-09,Service tax,broker_services,8,8,percent_of_taxable_fees,brokerage,Eight percent general service-tax rate,https://www.indiabudget.gov.in/budget_archive/es2004-05/chapt2005/chap23.pdf,verified_official
SERVICE_2004,2004-09-10,2006-04-17,Service tax plus education cess,broker_services,10.2,10.2,percent_of_taxable_fees,brokerage,Ten percent service tax plus two percent education cess on tax,https://www.indiabudget.gov.in/budget_archive/ub2004-05/bs/speecha.htm,verified_official
SERVICE_2006,2006-04-18,2007-05-10,Service tax plus education cess,broker_services,12.24,12.24,percent_of_taxable_fees,brokerage,Twelve percent service tax plus two percent education cess on tax,https://www.indiabudget.gov.in/budget_archive/ub2006-07/mem/mem3.pdf,verified_official
SERVICE_2007,2007-05-11,2009-02-23,Service tax plus education cesses,broker_services,12.36,12.36,percent_of_taxable_fees,brokerage,Twelve percent service tax plus combined three percent education cesses on tax,https://www.indiabudget.gov.in/budget_archive/ub2007-08/fb/bill10.pdf,verified_official
SERVICE_2009,2009-02-24,2012-03-31,Service tax plus education cesses,broker_services,10.30,10.30,percent_of_taxable_fees,brokerage,Ten percent service tax plus combined three percent education cesses on tax,https://www.indiabudget.gov.in/budget_archive/es2009-10/chapt2010/chapter03.pdf,verified_official
SERVICE_2012,2012-04-01,2015-05-31,Service tax plus education cesses,broker_services,12.36,12.36,percent_of_taxable_fees,brokerage,Twelve percent service tax restored plus combined three percent education cesses,https://www.indiabudget.gov.in/budget2012-2013/ub2012-13/cen/dojstru2.pdf,verified_official
SERVICE_2015,2015-06-01,2015-11-14,Service tax,broker_services,14,14,percent_of_taxable_fees,brokerage,Fourteen percent service tax,https://www.indiabudget.gov.in/budget2024-25/doc/bspeech/bs201516.pdf,verified_official
SERVICE_2015_CESS,2015-11-15,2016-05-31,Service tax plus SBC,broker_services,14.5,14.5,percent_of_taxable_fees,brokerage,Combined phase including Swachh Bharat Cess,https://cbic-gst.gov.in/sectoral-faq.html,verified_official
SERVICE_2016_CESS,2016-06-01,2017-06-30,Service tax plus SBC plus KKC,broker_services,15,15,percent_of_taxable_fees,brokerage,Combined phase including Krishi Kalyan Cess,https://cbic-gst.gov.in/sectoral-faq.html,verified_official
GST_2017,2017-07-01,,GST,broker_services,18,18,percent_of_taxable_fees,brokerage_and_transaction_fees,GST on broker and transaction-related services,https://cbic-gst.gov.in/pdf/circular-cgst-119.pdf,verified_official
SEBI_2014,2014-05-23,2017-03-31,SEBI turnover fee,cash_market,20,20,inr_per_crore,buy_and_sell_turnover,SEBI fee increased from Rs 10 to Rs 20 per crore,https://www.sebi.gov.in/media/press-releases/may-2014/notification-of-sebi-payment-of-fees-amendment-regulation-2014_26958.html,seed_verified
SEBI_2017,2017-04-01,2019-03-31,SEBI turnover fee,cash_market,15,15,inr_per_crore,buy_and_sell_turnover,SEBI board reduced broker fee to Rs 15 per crore,https://www.sebi.gov.in/media/press-releases/jan-2017/sebi-board-meeting_34042.html,seed_verified
SEBI_2019,2019-04-01,,SEBI turnover fee,cash_market,10,10,inr_per_crore,buy_and_sell_turnover,SEBI fee reduced to Rs 10 per crore,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2019/1551430938771.pdf,seed_verified
STAMP_2020,2020-07-01,,Stamp duty,equity_delivery,0.015,0,percent_of_turnover,buy_value,Uniform exchange-collected delivery stamp duty,https://www.nseindia.com/static/invest/first-time-investor-sebi-turnover-fees-stt-other-levies,seed_verified
FYERS_BROKERAGE_2024,2024-10-01,,Brokerage,equity_delivery,0.3,0.3,percent_capped_per_order,lower_of_rate_or_inr_20,Delivery brokerage 0.3 percent or Rs 20 per executed order whichever lower,https://support.fyers.in/portal/en/kb/articles/what-are-the-brokerage-charges-for-equity-intraday-and-delivery-trades-at-fyers,seed_verified
