rule_id,effective_from,effective_to,asset_type,holding_class,holding_period_days,tax_rate,exemption_threshold,indexation,grandfathering,cess_lookup,source_note,source_url,validation_status
EQ_PRE_STT_STCG,2000-04-01,2004-09-30,listed_equity,short_term,365,ordinary_marginal,0,false,false,true,Pre-STT listed-equity short-term gains taxed at ordinary rates,https://www.incometaxindia.gov.in/en/sale-of-shares,verified_official
EQ_PRE_STT_LTCG_INDEX,2000-04-01,2004-09-30,listed_equity,long_term,365,0.20,0,true,false,true,Section 112 indexed route; compare with statutory alternative where applicable,https://www.incometaxindia.gov.in/en/sale-of-shares,verified_official
EQ_PRE_STT_LTCG_NO_INDEX,2000-04-01,2004-09-30,listed_equity,long_term,365,0.10,0,false,false,true,Section 112 listed-security non-indexed route; lower lawful route requires engine comparison,https://www.incometaxindia.gov.in/en/sale-of-shares,verified_official
EQ_STT_10,2004-10-01,2008-03-31,listed_equity,short_term,365,0.10,0,false,false,true,Section 111A concessional STCG after STT reforms,https://www.indiabudget.gov.in/budget_archive/ub2004-05/bs/speecha.htm,verified_official
EQ_LTCG_EXEMPT,2004-10-01,2018-03-31,listed_equity,long_term,365,0.00,0,false,false,false,Eligible STT-paid listed-equity LTCG exempt under section 10(38),https://www.indiabudget.gov.in/budget_archive/ub2004-05/bs/speecha.htm,verified_official
EQ_STT_15,2008-04-01,2024-07-22,listed_equity,short_term,365,0.15,0,false,false,true,Finance Act 2008 increased section 111A rate to 15 percent for FY 2008-09 onward,https://wmstatic-prd.incometaxindia.gov.in/web/guest/w/section-111a-21,verified_official
EQ_112A_10,2018-04-01,2024-03-31,listed_equity,long_term,365,0.10,100000,false,true,true,Section 112A with annual threshold and 31-Jan-2018 grandfathering,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201819.pdf,verified_official
EQ_112A_10_FY2024,2024-04-01,2024-07-22,listed_equity,long_term,365,0.10,125000,false,true,true,FY 2024-25 aggregate section 112A threshold is 1.25 lakh even where pre-23-Jul transfers retain 10 percent rate,https://www.incometaxindia.gov.in/hi/w/section-112a-59,verified_official
EQ_STT_20,2024-07-23,,listed_equity,short_term,365,0.20,0,false,false,true,Section 111A rate effective 23-Jul-2024,https://wmstatic-prd.incometaxindia.gov.in/web/guest/w/section-111a-21,verified_official
EQ_112A_12_5,2024-07-23,,listed_equity,long_term,365,0.125,125000,false,true,true,Section 112A rate and aggregate annual threshold effective for FY 2024-25,https://www.incometaxindia.gov.in/hi/w/section-112a-59,verified_official
